method,homDim,score,strDim
vpb,1,0.0079060346891132,1
vab,"[0, 1]",0.9933044637995636,"[0, 1]"
pl,"[0, 1]",0.9848848305282206,"[0, 1]"
ps,"[0, 1]",0.9881828635661384,"[0, 1]"
nl,"[0, 1]",0.991826771486899,"[0, 1]"
ecc,"[0, 1]",0.993741691084378,"[0, 1]"
pes,"[0, 1]",0.9754881831085396,"[0, 1]"
pi,"[0, 1]",0.9901040446336168,"[0, 1]"
vpb,"[0, 1]",0.00797095260001,"[0, 1]"
vab,0,0.9680694151039388,0
pl,0,0.5199719442027592,0
ps,0,0.9424556607183796,0
nl,0,0.9512012775219664,0
ecc,0,0.9753196404783508,0
pes,0,0.97021188771711,0
pi,0,0.9713596430146512,0
vpb,0,0.9738655501731788,0
vab,1,0.9880203108160402,1
pl,1,0.9858374171461648,1
ps,1,0.983332830670412,1
nl,1,0.7764134716334967,1
ecc,1,0.9917173249003748,1
pes,1,0.7536206288968247,1
pi,1,0.9331369628611113,1
vpb,1,0.0093397087230598,1
vab,"[0, 1]",0.9919885779359784,"[0, 1]"
pl,"[0, 1]",0.988333937275546,"[0, 1]"
ps,"[0, 1]",0.9863455863852412,"[0, 1]"
nl,"[0, 1]",0.9904332308294506,"[0, 1]"
ecc,"[0, 1]",0.9927255755704324,"[0, 1]"
pes,"[0, 1]",0.976356112261504,"[0, 1]"
pi,"[0, 1]",0.9566057228831046,"[0, 1]"
vpb,"[0, 1]",0.0052208541979974,"[0, 1]"
vab,0,0.9734832923658374,0
pl,0,0.3982613299402225,0
ps,0,0.9389741254032988,0
nl,0,0.9619307408876824,0
ecc,0,0.9806329260773806,0
pes,0,0.9677417861108102,0
pi,0,0.974602701193235,0
vpb,0,0.975183262716035,0
vab,1,0.9857648047404274,1
pl,1,0.988068938718569,1
ps,1,0.982887548114671,1
nl,1,0.9887774035907644,1
ecc,1,0.9922457071404164,1
pes,1,0.7874877846636325,1
pi,1,0.5920762671766017,1
vpb,1,0.0142920834073146,1
vab,"[0, 1]",0.9924561779606316,"[0, 1]"
pl,"[0, 1]",0.9882815735335464,"[0, 1]"
ps,"[0, 1]",0.987861013754359,"[0, 1]"
nl,"[0, 1]",0.9890075212983732,"[0, 1]"
ecc,"[0, 1]",0.0834326508814027,"[0, 1]"
pes,"[0, 1]",0.97695817003279,"[0, 1]"
pi,"[0, 1]",0.9922514439886904,"[0, 1]"
vpb,"[0, 1]",0.0137452490599725,"[0, 1]"
vab,0,0.9700600688534468,0
pl,0,0.4914360819014686,0
ps,0,0.942854852998502,0
nl,0,0.9518355884530748,0
ecc,0,0.9682581616898432,0
pes,0,0.9755814058807656,0
pi,0,0.9773399292281042,0
vpb,0,0.9746235406501248,0
vab,1,0.989803590174875,1
pl,1,0.9851734598654328,1
ps,1,0.9843340598108326,1
nl,1,0.9874217058581448,1
ecc,1,0.9924973285987562,1
pes,1,0.7344781438853699,1
pi,1,0.1416675457127569,1
vpb,1,0.0031791020711448,1
vab,"[0, 1]",0.9905642775257708,"[0, 1]"
pl,"[0, 1]",0.9852748611513066,"[0, 1]"
ps,"[0, 1]",0.9888515262029842,"[0, 1]"
nl,"[0, 1]",0.989523380385955,"[0, 1]"
ecc,"[0, 1]",0.9941084123564838,"[0, 1]"
pes,"[0, 1]",0.9742180566559464,"[0, 1]"
pi,"[0, 1]",0.9875489918721596,"[0, 1]"
vpb,"[0, 1]",0.0275162321691,"[0, 1]"
vab,0,0.9710224188183787,0
pl,0,0.5300124380687029,0
ps,0,0.9324558304327528,0
nl,0,0.953373351083426,0
ecc,0,0.9757658031262925,0
pes,0,0.9686717887251711,0
pi,0,0.9667478239097509,0
vpb,0,0.9635017342556406,0
vab,1,0.9870590122911675,1
pl,1,0.9872672595699671,1
ps,1,0.9837030972617913,1
nl,1,0.9860976576094758,1
ecc,1,0.9923075495651986,1
pes,1,0.8004076281938751,1
pi,1,0.9519662506751435,1
vpb,1,0.003827788134005946,1
vab,"[0, 1]",0.9904868866902505,"[0, 1]"
pl,"[0, 1]",0.9874079596043438,"[0, 1]"
ps,"[0, 1]",0.9874799169990708,"[0, 1]"
nl,"[0, 1]",0.9865679776677599,"[0, 1]"
ecc,"[0, 1]",0.9923198977275451,"[0, 1]"
pes,"[0, 1]",0.9799788594515704,"[0, 1]"
pi,"[0, 1]",0.9890285781047725,"[0, 1]"
vpb,"[0, 1]",0.007131140863446816,"[0, 1]"
vab,0,0.9723246405191008,0
pl,0,0.5519097548651909,0
ps,0,0.9395844001011209,0
nl,0,0.9491204553775106,0
ecc,0,0.9662231725753824,0
pes,0,0.9639359623200543,0
pi,0,0.9743146308400716,0
vpb,0,0.962402169624052,0
vab,1,0.9882468401954395,1
pl,1,0.986780685395469,1
ps,1,0.9788296485653886,1
nl,1,0.982680762518095,1
ecc,1,0.9911138966385653,1
pes,1,0.7455963720983629,1
pi,1,0.40105771625028563,1
vpb,1,0.0013438431428155933,1
vab,"[0, 1]",0.9938561681795676,"[0, 1]"
pl,"[0, 1]",0.9841170448872848,"[0, 1]"
ps,"[0, 1]",0.988229583531007,"[0, 1]"
nl,"[0, 1]",0.988859317518784,"[0, 1]"
ecc,"[0, 1]",0.9924638068216219,"[0, 1]"
pes,"[0, 1]",0.9729069746903387,"[0, 1]"
pi,"[0, 1]",0.9878442740817613,"[0, 1]"
vpb,"[0, 1]",0.004006633314477682,"[0, 1]"
vab,0,0.9753530154933991,0
pl,0,0.5285399573749985,0
ps,0,0.9353612018645657,0
nl,0,0.9561262400455096,0
ecc,0,0.972144024187502,0
pes,0,0.9680710212910618,0
pi,0,0.9717009954969458,0
vpb,0,0.96659052667065,0
vab,1,0.9914234262305215,1
pl,1,0.9889226773946412,1
ps,1,0.9879493522857575,1
nl,1,0.9880067421455404,1
ecc,1,0.9907777695119958,1
pes,1,0.7543329044026076,1
pi,1,0.9799810483477949,1
vpb,1,0.013451789889116926,1
vab,"[0, 1]",0.9914304575868996,"[0, 1]"
pl,"[0, 1]",0.9847269143797208,"[0, 1]"
ps,"[0, 1]",0.9888809554240527,"[0, 1]"
nl,"[0, 1]",0.9908370589318173,"[0, 1]"
ecc,"[0, 1]",0.9924817158036063,"[0, 1]"
pes,"[0, 1]",0.97583916716305,"[0, 1]"
pi,"[0, 1]",0.8445738895082164,"[0, 1]"
vpb,"[0, 1]",0.006203632316856845,"[0, 1]"
vab,0,0.9732904002645169,0
pl,0,0.5226149052915503,0
ps,0,0.9235299620022703,0
nl,0,0.9490387452885782,0
ecc,0,0.9745978266324813,0
pes,0,0.9660037436915173,0
pi,0,0.9655046433338689,0
vpb,0,0.9670529124627335,0
vab,1,0.9881333557352289,1
pl,1,0.9816080087125703,1
ps,1,0.9828383300890058,1
nl,1,0.984046799292904,1
