"dimension","Birth","Persistence"
0,0,2
0,0,0.36289119595766
0,0,0.319160621100486
0,0,0.304333028377995
0,0,0.302930516358844
0,0,0.296095967432557
0,0,0.293310709529313
0,0,0.287942134163165
0,0,0.274774401233806
0,0,0.256404299608782
0,0,0.251875517537484
0,0,0.239976462129027
0,0,0.237160139157089
0,0,0.235286811118254
0,0,0.234218045421904
0,0,0.227243405506459
0,0,0.225235665507046
0,0,0.223625311951112
0,0,0.222355427289278
0,0,0.221810017503911
0,0,0.214903666432362
0,0,0.213544010056445
0,0,0.208994872418547
0,0,0.208563540292804
0,0,0.198311496286612
0,0,0.189903310033262
0,0,0.189860182931606
0,0,0.184778247418886
0,0,0.18291921669019
0,0,0.172724650268002
0,0,0.172412651244605
0,0,0.171757496266804
0,0,0.171710726668533
0,0,0.167912951018053
0,0,0.164836729577719
0,0,0.163785742661545
0,0,0.163735695526389
0,0,0.158339805934043
0,0,0.154888397506541
0,0,0.151927630331665
0,0,0.150406298609785
0,0,0.150330669576218
0,0,0.149617364812246
0,0,0.148866880849098
0,0,0.144747276949852
0,0,0.14400179358647
0,0,0.136890529324148
0,0,0.135408680357797
0,0,0.130347343415456
0,0,0.129651685074322
0,0,0.127703401164507
0,0,0.126075796551842
0,0,0.122292897754881
0,0,0.119498476210417
0,0,0.118572673783088
0,0,0.11851262144947
0,0,0.118512361328934
0,0,0.117083708999965
0,0,0.11662787790225
0,0,0.115344900389089
0,0,0.113579602148899
0,0,0.112563163158687
0,0,0.112249352419915
0,0,0.106340775180794
0,0,0.106038798739929
0,0,0.105329417511809
0,0,0.103552507423536
0,0,0.101743576577431
0,0,0.101657369814847
0,0,0.100895136542308
0,0,0.100863323463905
0,0,0.100848156582547
0,0,0.0963662301573226
0,0,0.0947793777986532
0,0,0.0939143199360983
0,0,0.0916153297591113
0,0,0.0896040928062322
0,0,0.0891770718458199
0,0,0.0880842993087274
0,0,0.0835015010063216
0,0,0.0832362101567852
0,0,0.0764976815790624
0,0,0.0691588329947824
0,0,0.066465320898239
0,0,0.0626102471972416
0,0,0.0622663724215502
0,0,0.0614089312616194
0,0,0.0610726732829933
0,0,0.0585315132356041
0,0,0.0570021762725035
0,0,0.0547625519891046
0,0,0.0520249166700837
0,0,0.0389601086537735
0,0,0.0355753384473948
0,0,0.0354112240302693
0,0,0.0331078410410686
0,0,0.031969639031088
0,0,0.0316380207780961
0,0,0.0205153431127848
0,0,0.0204108403504236
1,0.408885464090072,0.860326686071788
1,0.185782369621542,0.09454276757441
1,0.332953130847833,0.0679788521799271
1,0.146569217921119,0.0426230444380757
1,0.283433085700477,0.0348321127387374
1,0.284394883135765,0.0263803248729884
1,0.202896822109363,0.0243028776000056
1,0.266410132414553,0.0218109460783456
1,0.446044976291994,0.0135571780239566
1,0.316781805804295,0.00748795176514788
1,0.338216824485567,0.00571230598178318
1,0.341906542509579,0.00526633058487141
1,0.256445878350422,0.0016839403477088
